Club,Season,GW_Played,Goals_Scored,Goals_Conceded,Goal_Difference,Expenditure,Income,Net,Points,Points_per_GW,Expenditure_per_Point_per_GW,Manager,Owner,Champion,Relegated
ARS,1997,38,68,33,35,-25.11,1.39,-23.72,78,2.052631579,-12.23307692,Wenger,ITV_plc,TRUE,FALSE
MAN,1997,38,73,26,47,-15.45,1.42,-14.03,77,2.026315789,-7.624675325,Ferguson,McManus,FALSE,FALSE
LIV,1997,38,68,42,26,-21.15,14.84,-6.31,65,1.710526316,-12.36461538,Evans,Moores,FALSE,FALSE
CHE,1997,38,71,43,28,-20.29,2.91,-17.38,63,1.657894737,-12.2384127,Gullit,Harding,FALSE,FALSE
LEE,1997,38,57,46,11,-18.14,6.1,-12.04,59,1.552631579,-11.68338983,Graham,Ridsdale,FALSE,FALSE
BRO,1997,38,57,52,5,-11.54,31.72,20.18,58,1.526315789,-7.560689655,Hodgson,Walter,FALSE,FALSE
AVL,1997,38,49,48,1,-11.97,3.82,-8.15,57,1.5,-7.98,Little,Lerner,FALSE,FALSE
WHU,1997,38,56,57,-1,-14.36,2.28,-12.08,56,1.473684211,-9.744285714,Redknapp,Brown,FALSE,FALSE
DER,1997,38,52,49,3,-2.62,3.55,0.93,55,1.447368421,-1.810181818,J_Smith,American_Partners,FALSE,FALSE
LEI,1997,38,51,41,10,-2.91,1.45,-1.46,53,1.394736842,-2.086415094,O_Neil,Mandaric,FALSE,FALSE
COV,1997,38,46,44,2,-9.58,3.71,-5.87,52,1.368421053,-7.000769231,Strachan,RVP,FALSE,FALSE
SOU,1997,38,50,55,-5,-7.04,8.64,1.6,48,1.263157895,-5.573333333,D_Jones,Lowe,FALSE,FALSE
NEW,1997,38,35,44,-9,-38.29,18.83,-19.46,44,1.157894737,-33.06863636,Dalglish,Hall,FALSE,FALSE
TOT,1997,38,44,56,-12,-20.18,6.56,-13.62,44,1.157894737,-17.42818182,Gross,Sugar,FALSE,FALSE
SHEW,1997,38,52,67,-15,-11.15,5.59,-5.56,44,1.157894737,-9.629545455,Atkinson,Attenburough,FALSE,FALSE
WIM,1997,38,34,46,-12,-5.43,12.76,7.33,44,1.157894737,-4.689545455,Kinnear,Martin,FALSE,FALSE
BOL,1997,38,41,61,-20,-16.97,2.18,-14.79,40,1.052631579,-16.1215,Todd,Burnden_Leisure,FALSE,TRUE
EVE,1997,38,41,56,-15,-9.03,16.25,7.22,40,1.052631579,-8.5785,W_Smith,Woods,FALSE,FALSE
BARN,1997,38,37,82,-45,-7.4,1.52,-5.88,35,0.921052632,-8.034285714,Wilson,Scott,FALSE,TRUE
CRY,1997,38,37,71,-34,-15.62,6.95,-8.67,33,0.868421053,-17.98666667,Coppell,CPFC,FALSE,TRUE
MAN,1996,38,76,44,32,-12.8,9.11,-3.69,75,1.973684211,-6.485333333,Ferguson,McManus,TRUE,FALSE
NEW,1996,38,73,40,33,-32.6,9.65,-22.95,68,1.789473684,-18.21764706,Keegan,Hall,FALSE,FALSE
ARS,1996,38,62,32,30,-6.97,16.81,9.84,68,1.789473684,-3.895,Wenger,ITV_plc,FALSE,FALSE
LIV,1996,38,62,37,25,-3.99,3.42,-0.57,68,1.789473684,-2.229705882,Evans,Moores,FALSE,FALSE
AVL,1996,38,47,34,13,-9.23,5,-4.23,61,1.605263158,-5.749836066,Little,Lerner,FALSE,FALSE
CHE,1996,38,58,55,3,-17.74,4.16,-13.58,59,1.552631579,-11.42576271,Gullit,Harding,FALSE,FALSE
SHEW,1996,38,50,51,-1,-9.17,9.48,0.31,57,1.5,-6.113333333,Pleat,Attenburough,FALSE,FALSE
WIM,1996,38,49,46,3,-3.17,0.137,-3.033,56,1.473684211,-2.151071429,Kinnear,Martin,FALSE,FALSE
LEI,1996,38,46,54,-8,-8.84,4.33,-4.51,47,1.236842105,-7.147234043,O_Neil,Mandaric,FALSE,FALSE
LEE,1996,38,28,38,-10,-18.95,1.08,-17.87,46,1.210526316,-15.65434783,Graham,Ridsdale,FALSE,FALSE
TOT,1996,38,44,51,-7,-9.41,1.64,-7.77,46,1.210526316,-7.773478261,Francis,Sugar,FALSE,FALSE
DER,1996,38,45,58,-13,-3.86,0.642,-3.218,46,1.210526316,-3.188695652,J_Smith,American_Partners,FALSE,FALSE
WHU,1996,38,39,48,-9,-15.05,2.3,-12.75,42,1.105263158,-13.61666667,Redknapp,Brown,FALSE,FALSE
EVE,1996,38,44,57,-13,-12.26,14.86,2.6,42,1.105263158,-11.09238095,Royle,Woods,FALSE,FALSE
BRO,1996,38,42,43,-1,0,24.99,24.99,42,1.105263158,0,Parkes,Walter,FALSE,FALSE
COV,1996,38,38,54,-16,-4.85,2.28,-2.57,41,1.078947368,-4.495121951,Strachan,RVP,FALSE,FALSE
SOU,1996,38,50,56,-6,-3.7,5.85,2.15,41,1.078947368,-3.429268293,Souness,Lowe,FALSE,FALSE
SUN,1996,38,35,53,-18,-7.87,0.205,-7.665,40,1.052631579,-7.4765,Reid,Drumaville,FALSE,TRUE
MID,1996,38,51,60,-9,-18.67,11.06,-7.61,39,1.026315789,-18.19128205,Robson,Gibson,FALSE,TRUE
NOT,1996,38,31,59,-28,-11.04,0.804,-10.236,34,0.894736842,-12.33882353,Pearce,Waters,FALSE,TRUE
MAN,1995,38,73,35,38,0.656,22.79,23.446,82,2.157894737,0.304,Ferguson,McManus,TRUE,FALSE
NEW,1995,38,66,37,29,-28.04,8.93,-19.11,78,2.052631579,-13.66051282,Keegan,Hall,FALSE,FALSE
LIV,1995,38,70,34,36,-21.95,1.94,-20.01,71,1.868421053,-11.74788732,Evans,Moores,FALSE,FALSE
ARS,1995,38,49,32,17,-20.92,2.51,-18.41,63,1.657894737,-12.6184127,Wenger,ITV_plc,FALSE,FALSE
AVL,1995,38,52,35,17,-12.61,3.85,-8.76,63,1.657894737,-7.606031746,Little,Lerner,FALSE,FALSE
EVE,1995,38,64,44,20,-19.67,0,-19.67,61,1.605263158,-12.25344262,Royle,Woods,FALSE,FALSE
BRO,1995,38,61,47,14,-16.22,6.38,-9.84,61,1.605263158,-10.1042623,Harford,Walter,FALSE,FALSE
TOT,1995,38,50,38,12,-15.24,15.39,0.15,61,1.605263158,-9.493770492,Francis,Sugar,FALSE,FALSE
NOT,1995,38,50,54,-4,-4.38,15.89,11.51,58,1.526315789,-2.869655172,Clark,Waters,FALSE,FALSE
WHU,1995,38,43,52,-9,-5.38,5.78,0.4,51,1.342105263,-4.008627451,Redknapp,Brown,FALSE,FALSE
CHE,1995,38,46,44,2,-2.17,2.09,-0.08,50,1.315789474,-1.6492,Hoddle,Harding,FALSE,FALSE
MID,1995,38,35,50,-15,-14.82,0.428,-14.392,43,1.131578947,-13.09674419,Robson,Gibson,FALSE,FALSE
LEE,1995,38,40,57,-17,-5.36,5.72,0.36,43,1.131578947,-4.736744186,Wilkinson,Ridsdale,FALSE,FALSE
WIM,1995,38,55,70,-15,0.832,5.13,5.962,41,1.078947368,0.771121951,Kinnear,Martin,FALSE,FALSE
SHEW,1995,38,48,61,-13,-14.54,7.18,-7.36,40,1.052631579,-13.813,Pleat,Attenburough,FALSE,FALSE
MCI,1995,38,33,58,-25,-13.41,7.9,-5.51,38,1,-13.41,Ball,UKSIL,FALSE,TRUE
COV,1995,38,42,60,-18,-7.12,2.92,-4.2,38,1,-7.12,Atkinson,RVP,FALSE,FALSE
SOU,1995,38,34,52,-18,-2.55,0.14,-2.41,38,1,-2.55,Merrington,Lowe,FALSE,FALSE
QPR,1995,38,38,57,-19,-6.08,13.78,7.7,33,0.868421053,-7.001212121,Wilkins,Fernandes,FALSE,TRUE
BOL,1995,38,39,71,-32,-9.85,7.96,-1.89,29,0.763157895,-12.90689655,McFarland,Burnden_Leisure,FALSE,TRUE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
